author_id,author_gender,author_academic_age,field_id,field,domain_id,domain,orcid,last_institution_id,last_institution_name,last_institution_country,last_institution_type,degree_institution_name,degree_institution_id,degree_institution_country,degree_institution_type,last_degree,graduate_year,degree_rank_type,us_top_degree_inst100,last_flow_year,institution_name,QS_2025,USNews_2025,THE_2025,ARWU_2024,rank_mean,is_inbred,rank_type
5049770701,Male,63,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,0000-0001-8401-0545,114027177,University of North Carolina at Chapel Hill,US,education,Cardiovascular Institute Hospital,3019692003,JP,healthcare,phd,2013,3,0,2016,University of North Carolina at Chapel Hill,155,47,70,35,76.75,0,1
5001594573,Male,43,17,Computer Science,3,Physical Sciences,0000-0003-3695-1580,95457486,"University of California, Berkeley",US,education,Stanford University,97018004,US,education,phd,1985,1,0,1987,"University of California, Berkeley",12,5,8,5,7.5,0,1
5046943453,Male,65,31,Physics and Astronomy,3,Physical Sciences,0000-0002-4615-1563,78744979,University of La Rochelle,FR,education,Laboratoire d'Informatique Algorithmique: Fondements et Applications,4210094115,FR,facility,phd,2004,3,0,2015,University of La Rochelle,,,1452,,1452,0,4
5034372799,Male,55,31,Physics and Astronomy,3,Physical Sciences,0000-0002-0583-4595,40120149,University of Oxford,GB,education,University of Oxford,40120149,GB,education,phd,2004,3,0,2012,University of Oxford,3,4,1,6,3.5,1,1
5074895828,Female,35,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,0000-0002-4259-6362,204250578,"University of California, Irvine",US,education,Ferdowsi University of Mashhad,86958956,IR,education,phd,2008,3,0,2012,"University of California, Irvine",307,100,90,76,143.25,0,1
5086198262,Female,37,17,Computer Science,3,Physical Sciences,0000-0002-9322-3515,70931966,Université de Montréal,CA,education,McGill University,5023651,CA,education,phd,1991,3,0,1993,Universit¨¦ de Montr¨¦al,159,174,125,164,155.5,0,1
5058047443,Male,50,32,Psychology,2,Social Sciences,0000-0003-2139-0485,57206974,New York University,US,education,University of Chicago,40347166,US,education,phd,1976,1,0,1993,New York University,43,32,33,31,34.75,0,1
5063349644,Male,35,23,Environmental Science,3,Physical Sciences,0000-0002-3255-3692,165779595,University of Melbourne,AU,education,University of Melbourne,165779595,AU,education,phd,1999,3,0,2001,University of Melbourne,13,27,39,37,29,1,1
5023992050,Male,50,23,Environmental Science,3,Physical Sciences,0000-0001-8708-3475,165779595,University of Melbourne,AU,education,University of Bristol,36234482,GB,education,phd,1975,3,0,1979,University of Melbourne,13,27,39,37,29,0,1
5017921526,Female,40,32,Psychology,2,Social Sciences,0000-0002-1453-6434,141945490,University of British Columbia,CA,education,Harvard University,136199984,US,education,phd,1983,1,0,2001,University of British Columbia,38,39,41,47,41.25,0,1
5024870825,Male,39,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,0000-0002-7507-6494,118564535,University of Bern,CH,education,University of Geneva,114457229,CH,education,phd,1988,3,0,2001,University of Bern,161,111,104,131,126.75,0,1
5076984889,Male,50,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,0000-0002-5892-6506,87216513,Michigan State University,US,education,"University of California, San Diego",36258959,US,education,phd,2001,1,0,2012,Michigan State University,152,123,122,173,142.5,0,1
5069354331,Male,42,25,Materials Science,3,Physical Sciences,0000-0002-1757-1980,170201317,University of Pittsburgh,US,education,Northwestern University,111979921,US,education,phd,2004,1,0,2008,University of Pittsburgh,275,50,141,90,139,0,1
5013713764,Male,32,28,Neuroscience,1,Life Sciences,0000-0002-4598-8775,57206974,New York University,US,education,University of Pennsylvania,79576946,US,education,phd,1992,1,0,2006,New York University,43,32,33,31,34.75,0,1
5023308747,Male,13,27,Medicine,4,Health Sciences,0000-0003-4574-9122,139264467,Seoul National University,KR,education,University of Ulsan,40542001,KR,education,phd,2015,3,0,2017,Seoul National University,31,135,62,86,78.5,0,1
