year,gender,inbreeding1,inbreeding2,inbreeding3,inbreeding4,inbreeding5,country_w,w_ranking,w_subject2,ranking_category,branking,dranking,continent_b,continent_d,continent_w,first_work_pre_avg_publications,first_work_pre_avg_jif,work_bachelor_year,country_b,country_d,bsubject2,dsubject2,work_to_2022,start_year_facawork_oid_sum_afterwork,start_year_facawork_oid_jifsum_afterwork,first_work_pre_avg_publications_afterwork,first_work_pre_avg_jif_afterwork,gender_inbreeding1,gender_inbreeding2,gender_inbreeding3,gender_inbreeding4
1991,1,0,0,0,0,1,CN,1726,11,1500-2000,379,732,Asia,Europe,Asia,0,0,4,CN,GB,7,6,31,18,79.7,0.580645161,2.570967742,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2009,0,0,1,0,1,0,MY,977,2,500-1000,977,504,Asia,Asia,Asia,0,0,4,MY,MY,2,6,13,0,0,0,0,Male Non-Inbred,Male Inbred,Male Non-Inbred,Male Inbred
2015,0,0,0,0,0,1,US,NA,7,>2000,544,140,North America,North America,North America,2,6.83,10,US,US,6,8,7,16,73.3,2.285714286,10.47142857,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2009,0,0,0,0,0,1,US,NA,6,>2000,NA,6,North America,North America,North America,0.083333333,0.2,24,US,US,6,8,13,3,0,0.230769231,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2019,0,0,0,1,1,0,GB,708,7,500-1000,277,708,Europe,Europe,Europe,0,0,15,GB,GB,6,7,3,5,14.7,1.666666667,4.9,Male Non-Inbred,Male Non-Inbred,Male Inbred,Male Inbred
1997,0,0,0,0,0,1,GB,74,4,0-500,63,74,Europe,Europe,Europe,0.25,0,8,GB,GB,6,6,25,40,89.3,1.6,3.572,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2001,1,0,0,0,0,1,US,116,11,0-500,2001,618,North America,North America,North America,NA,NA,.,US,US,6,11,21,26,45.6,1.238095238,2.171428571,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2016,1,0,0,0,0,1,CA,175,9,0-500,136,175,North America,North America,North America,0,0,18,CA,CA,1,9,6,6,0,1,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2019,1,0,0,0,0,1,GB,2001,6,>2000,NA,370,Asia,Europe,Europe,0,0,26,TR,GB,3,3,3,1,5.1,0.333333333,1.7,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2017,1,0,0,1,1,0,GB,2001,7,>2000,1203,2001,Europe,Europe,Europe,2.533333333,8.066666667,15,GB,GB,4,7,5,38,157.6,7.6,31.52,Female Non-Inbred,Female Non-Inbred,Female Inbred,Female Inbred
1989,1,0,1,0,1,0,KR,1190,7,1000-1500,129,11,Asia,North America,Asia,0,0,14,KR,US,8,1,33,1,2.9,0.03030303,0.087878788,Female Non-Inbred,Female Inbred,Female Non-Inbred,Female Inbred
1979,1,0,0,0,0,1,CZ,84,4,0-500,NA,605,Latin America,Europe,Europe,NA,NA,.,PA,CZ,6,8,43,16,78.1,0.372093023,1.81627907,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2003,0,0,0,0,0,1,CO,662,6,500-1000,662,74,Latin America,North America,Latin America,0,0,9,CO,US,6,6,19,15,46.6,0.789473684,2.452631579,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
1991,0,0,0,0,0,1,NG,2001,8,>2000,2001,2001,Africa,Africa,Africa,0,0,8,NG,NG,8,8,31,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2013,1,0,0,1,1,0,GB,12,3,0-500,1049,12,Europe,Europe,Europe,0,0,11,GB,GB,7,3,9,14,167.5,1.555555556,18.61111111,Female Non-Inbred,Female Non-Inbred,Female Inbred,Female Inbred
2020,0,0,0,1,1,0,SG,26,6,0-500,116,26,Asia,Asia,Asia,2.25,29.8625,8,CN,SG,4,4,2,5,83,2.5,41.5,Male Non-Inbred,Male Non-Inbred,Male Inbred,Male Inbred
2015,0,0,0,0,0,1,IN,NA,8,>2000,NA,2001,Asia,Asia,Asia,0.166666667,0.066666667,12,IN,IN,4,4,7,5,20.1,0.714285714,2.871428571,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2022,1,0,0,1,1,0,ES,NA,6,>2000,413,NA,Latin America,Europe,Europe,0.4,1.54,15,BR,ES,4,4,0,0,0,NA,NA,Female Non-Inbred,Female Non-Inbred,Female Inbred,Female Inbred
2021,0,1,1,1,1,0,TW,203,3,0-500,203,203,Asia,Asia,Asia,0.2,0.78,10,TW,TW,3,3,1,0,0,0,0,Male Inbred,Male Inbred,Male Inbred,Male Inbred
2003,0,0,0,0,0,1,"Per, PE",NA,5,>2000,NA,NA,Latin America,Latin America,Latin America,0,0,6,PE,PE,7,5,19,9,15.2,0.473684211,0.8,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2020,1,0,0,0,0,1,IN,NA,6,>2000,2001,NA,Asia,Asia,Asia,0.2,2.16,15,IN,IN,4,4,2,0,0,0,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2012,0,0,0,0,0,1,NG,NA,4,>2000,2001,2001,Africa,Africa,Africa,0,0,4,NG,NG,4,4,10,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2019,1,0,0,0,0,1,GB,2001,3,>2000,717,2001,Europe,Europe,Europe,0,0,7,GB,GB,6,6,3,7,17.3,2.333333333,5.766666667,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2012,0,0,0,0,0,1,FR,48,4,0-500,400,NA,Latin America,Europe,Europe,1.1,5.23,10,CL,ES,6,7,10,31,171.83,3.1,17.183,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2008,1,1,1,1,1,0,AU,112,3,0-500,112,112,Oceania,Oceania,Oceania,0.222222222,0,9,AU,AU,3,3,14,2,0,0.142857143,0,Female Inbred,Female Inbred,Female Inbred,Female Inbred
2021,0,0,0,0,0,1,SA,95,8,0-500,1585,253,Asia,Asia,Asia,1.416666667,8.758333333,12,CN,CN,8,4,1,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
1990,1,0,0,0,0,1,GB,145,8,0-500,145,145,Europe,Europe,Europe,0,0,7,GB,GB,8,8,32,0,0,0,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2020,0,0,0,0,0,1,US,6,6,0-500,230,405,North America,North America,North America,0.333333333,1.188888889,9,US,US,6,6,2,4,12.3,2,6.15,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2018,0,0,0,0,0,1,US,2,4,0-500,20,31,North America,North America,North America,0.153846154,2.307692308,13,US,US,4,4,4,1,16.6,0.25,4.15,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2009,0,0,0,0,0,1,FR,352,8,0-500,277,277,Europe,Europe,Europe,0.142857143,0,7,GB,GB,5,5,13,12,0,0.923076923,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2006,0,0,0,1,1,0,GB,236,3,0-500,330,236,Europe,Europe,Europe,0.444444444,1.344444444,9,GB,GB,4,3,16,23,104,1.4375,6.5,Male Non-Inbred,Male Non-Inbred,Male Inbred,Male Inbred
2017,0,0,0,0,0,1,GB,889,6,500-1000,633,576,Europe,Europe,Europe,0,0,4,GB,GB,6,6,5,2,0,0.4,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2000,0,0,0,0,0,1,ID,1158,8,1000-1500,1405,667,Asia,Asia,Asia,0,0,9,ID,JP,8,4,22,3,0,0.136363636,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2002,0,0,0,0,0,1,KR,NA,7,>2000,129,129,Asia,Asia,Asia,0,0,12,KR,KR,8,4,20,19,0,0.95,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2021,0,0,0,0,0,1,KR,NA,11,>2000,129,129,Asia,Asia,Asia,0,0,11,KR,KR,8,8,1,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2017,1,0,0,0,0,1,IN,NA,8,>2000,NA,1361,Asia,Asia,Asia,0,0,9,IN,IN,7,8,5,3,1.9,0.6,0.38,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
1985,1,0,0,0,0,1,US,NA,4,>2000,2001,143,North America,North America,North America,0,0,15,US,US,3,6,37,9,41.5,0.243243243,1.121621622,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2015,0,0,0,0,0,1,GB,63,7,0-500,953,280,Europe,Europe,Europe,0,0,8,GB,GB,8,8,7,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2012,0,0,0,0,0,1,BR,618,7,500-1000,2001,583,Latin America,Asia,Latin America,0,0,12,BR,JP,1,2,10,2,0,0.2,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
