year,gender,inbreeding1,inbreeding2,inbreeding3,inbreeding4
1975,Female,0.108108108,0.216216216,0.234234234,0.342342342
1975,Male,0.079310345,0.131034483,0.137931034,0.189655172
1976,Female,0.090225564,0.187969925,0.263157895,0.360902256
1976,Male,0.069637883,0.155988858,0.144846797,0.231197772
1977,Female,0.122137405,0.244274809,0.213740458,0.335877863
1977,Male,0.080213904,0.155080214,0.139037433,0.213903743
1978,Female,0.107594937,0.221518987,0.208860759,0.32278481
1978,Male,0.041769042,0.100737101,0.135135135,0.194103194
1979,Female,0.103448276,0.247126437,0.195402299,0.33908046
1979,Male,0.046218487,0.121848739,0.111344538,0.18697479
1980,Female,0.112745098,0.230392157,0.230392157,0.348039216
1980,Male,0.05227656,0.118043845,0.141652614,0.207419899
1981,Female,0.127192982,0.24122807,0.236842105,0.350877193
1981,Male,0.073504274,0.158974359,0.153846154,0.239316239
1982,Female,0.114186851,0.24567474,0.211072664,0.342560554
1982,Male,0.067484663,0.13803681,0.150306748,0.220858896
1983,Female,0.085185185,0.2,0.211111111,0.325925926
1983,Male,0.083687943,0.160283688,0.14751773,0.224113475
1984,Female,0.129310345,0.221264368,0.206896552,0.298850575
1984,Male,0.057716437,0.13425345,0.146800502,0.223337516
1985,Female,0.081534772,0.213429257,0.20383693,0.335731415
1985,Male,0.079037801,0.167239404,0.158075601,0.246277205
1986,Female,0.103942652,0.229390681,0.195340502,0.32078853
1986,Male,0.06557377,0.163934426,0.155737705,0.254098361
1987,Female,0.098181818,0.209090909,0.196363636,0.307272727
1987,Male,0.058174524,0.151454363,0.13440321,0.227683049
1988,Female,0.093378608,0.19524618,0.188455008,0.290322581
1988,Male,0.071367154,0.147033534,0.168529665,0.244196045
1989,Female,0.099697885,0.223564955,0.190332326,0.314199396
1989,Male,0.067315491,0.148418491,0.149229521,0.230332522
1990,Female,0.094072165,0.202319588,0.199742268,0.307989691
1990,Male,0.073103448,0.14137931,0.175172414,0.243448276
1991,Female,0.098014888,0.193548387,0.203473945,0.299007444
1991,Male,0.064076346,0.15064758,0.167689162,0.254260395
1992,Female,0.08056872,0.200236967,0.174170616,0.293838863
1992,Male,0.070907886,0.155732273,0.169648774,0.254473161
1993,Female,0.088265836,0.208722741,0.183800623,0.304257529
1993,Male,0.075541796,0.165325077,0.163467492,0.253250774
1994,Female,0.099271403,0.207650273,0.203096539,0.31147541
1994,Male,0.06674021,0.152785438,0.145063431,0.23110866
1995,Female,0.105358765,0.218891916,0.202543143,0.316076294
1995,Male,0.079545455,0.16991342,0.164502165,0.25487013
1996,Female,0.124087591,0.223844282,0.232765612,0.332522303
1996,Male,0.064657268,0.154107924,0.160427807,0.249878464
1997,Female,0.098096633,0.189604685,0.20204978,0.293557833
1997,Male,0.090211998,0.182228236,0.186738836,0.278755074
1998,Female,0.107849394,0.202935546,0.213146139,0.308232291
1998,Male,0.074675325,0.15625,0.162337662,0.243912338
1999,Female,0.101186758,0.201124297,0.204247345,0.304184884
1999,Male,0.080687337,0.166604408,0.174822563,0.260739634
2000,Female,0.090009891,0.18644906,0.208704253,0.305143422
2000,Male,0.086488251,0.161879896,0.181462141,0.256853786
2001,Female,0.095940959,0.195571956,0.217250923,0.316881919
2001,Male,0.074861368,0.16327788,0.172828096,0.261244609
2002,Female,0.094778412,0.201842914,0.19921018,0.306274682
2002,Male,0.082563672,0.177721802,0.176322418,0.271480549
2003,Female,0.094185094,0.193693694,0.203112203,0.302620803
2003,Male,0.072765621,0.160822568,0.168995518,0.257052465
2004,Female,0.097325409,0.188707281,0.199479941,0.290861813
2004,Male,0.082078679,0.169499757,0.172413793,0.259834871
2005,Female,0.093680534,0.185773261,0.195300095,0.287392823
2005,Male,0.078484158,0.167943674,0.17415614,0.263615655
2006,Female,0.089972145,0.191364903,0.190529248,0.291922006
2006,Male,0.072548649,0.163990176,0.169846968,0.261288494
2007,Female,0.091486658,0.179161372,0.202287166,0.289961881
2007,Male,0.077139343,0.167105957,0.182744685,0.272711299
2008,Female,0.090423163,0.197104677,0.190423163,0.297104677
2008,Male,0.076864186,0.172255397,0.179911193,0.275302404
2009,Female,0.090946166,0.176794454,0.199225122,0.285073409
2009,Male,0.079383048,0.163152681,0.178151974,0.261921607
2010,Female,0.092581832,0.175092001,0.199690103,0.282200271
2010,Male,0.074713368,0.163915837,0.175885095,0.265087565
2011,Female,0.088808007,0.167606915,0.195268426,0.274067334
2011,Male,0.077118952,0.161392021,0.182975628,0.267248696
2012,Female,0.089204175,0.168949772,0.203848663,0.28359426
2012,Male,0.078314582,0.161813369,0.187844694,0.271343481
2013,Female,0.087878788,0.163333333,0.209090909,0.284545455
2013,Male,0.074846379,0.149994963,0.186763373,0.261911957
2014,Female,0.084798909,0.157736878,0.210361282,0.28329925
2014,Male,0.075387394,0.148588269,0.193459454,0.266660329
2015,Female,0.095435685,0.17090249,0.211229253,0.286696058
