gender,w_ranking,inbreeding1,inbreeding2,inbreeding3,inbreeding4
Male,1,0.021310602,0.058604156,0.099627064,0.136920618
Female,1,0.02975048,0.073896353,0.105566219,0.149712092
Male,2,0.029520295,0.086100861,0.097170972,0.153751538
Female,2,0.017857143,0.075892857,0.066964286,0.125
Male,3,0.02354049,0.061205273,0.106403013,0.144067797
Female,3,0.02640264,0.074257426,0.066006601,0.113861386
Male,4,0.024008351,0.072025052,0.122129436,0.170146138
Female,4,0.033868093,0.07486631,0.153297683,0.1942959
Male,5,0.051252847,0.086560364,0.200455581,0.235763098
Female,5,0.037647059,0.091764706,0.216470588,0.270588235
Male,6,0.027350427,0.061538462,0.184615385,0.218803419
Female,6,0.027972028,0.06993007,0.202797203,0.244755245
Male,7,0.035242291,0.073421439,0.121879589,0.160058737
Female,7,0.020460358,0.04859335,0.097186701,0.125319693
Male,8,0.074224022,0.116059379,0.215924426,0.257759784
Female,8,0.067183463,0.087855297,0.242894057,0.263565891
Male,9,0.009174312,0.05733945,0.080275229,0.128440367
Female,9,0,0.057971014,0.077294686,0.1352657
Male,10,0.030826141,0.069050555,0.15782984,0.196054254
Female,10,0.025943396,0.054245283,0.16745283,0.195754717
Male,11,0.012278308,0.053206003,0.077762619,0.118690314
Female,11,0.021164021,0.055555556,0.100529101,0.134920635
Male,12,0.040716612,0.06514658,0.250814332,0.2752443
Female,12,0.038348083,0.088495575,0.265486726,0.315634218
Male,13,0.036866359,0.073732719,0.205069124,0.241935484
Female,13,0.032407407,0.074074074,0.203703704,0.24537037
Male,14,0.044280443,0.07195572,0.188191882,0.215867159
Female,14,0.027303754,0.061433447,0.184300341,0.218430034
Male,15,0.015748031,0.045669291,0.108661417,0.138582677
Female,15,0.026894866,0.06601467,0.139364303,0.178484108
Male,16,0.016298021,0.041909197,0.095459837,0.121071013
Female,16,0.009940358,0.029821074,0.085487078,0.105367793
Male,18,0.061702128,0.121276596,0.234042553,0.293617021
Female,18,0.065068493,0.119863014,0.181506849,0.23630137
Male,19,0.028678304,0.088528678,0.153366584,0.213216958
Female,19,0.024896266,0.082987552,0.170124481,0.228215768
Male,20,0.038043478,0.065217391,0.157608696,0.184782609
Female,20,0.03307888,0.078880407,0.134860051,0.180661578
Male,21,0.011152416,0.063197026,0.089219331,0.141263941
Female,21,0.032258065,0.083870968,0.141935484,0.193548387
Male,22,0.013586957,0.054347826,0.070652174,0.111413043
Female,22,0.031088083,0.07253886,0.124352332,0.165803109
Male,23,0.157894737,0.25877193,0.25877193,0.359649123
Female,23,0.162079511,0.247706422,0.266055046,0.351681957
Male,24,0.100323625,0.144012945,0.210355987,0.254045307
Female,24,0.043478261,0.080745342,0.142857143,0.180124224
Male,25,0.020703934,0.057971014,0.140786749,0.17805383
Female,25,0.032846715,0.072992701,0.131386861,0.171532847
Male,26,0.090225564,0.163533835,0.246240602,0.319548872
Female,26,0.079545455,0.133522727,0.267045455,0.321022727
Male,27,0.19047619,0.229591837,0.399659864,0.43877551
Female,27,0.154471545,0.235772358,0.379403794,0.460704607
Male,28,0.145756458,0.193726937,0.330258303,0.378228782
Female,28,0.160883281,0.211356467,0.359621451,0.410094637
Male,29,0.073333333,0.093333333,0.216666667,0.236666667
Female,29,0.038834951,0.063106796,0.203883495,0.22815534
Male,30,0.069196429,0.116071429,0.220982143,0.267857143
Female,30,0.060810811,0.10472973,0.212837838,0.256756757
Male,31,0.015009381,0.04315197,0.084427767,0.112570356
Female,31,0.025547445,0.062043796,0.109489051,0.145985401
Male,32,0.012474012,0.06029106,0.139293139,0.187110187
Female,32,0.015384615,0.05,0.146153846,0.180769231
Male,33,0.016172507,0.051212938,0.191374663,0.226415094
Female,33,0.041860465,0.074418605,0.162790698,0.195348837
Male,34,0.093617021,0.131914894,0.295744681,0.334042553
Female,34,0.069444444,0.092592593,0.328703704,0.351851852
Male,35,0.056372549,0.102941176,0.208333333,0.254901961
Female,35,0.069124424,0.124423963,0.188940092,0.244239631
Male,36,0.186963979,0.224699828,0.387650086,0.425385935
Female,36,0.188829787,0.215425532,0.433510638,0.460106383
Male,37,0.105756359,0.152610442,0.303882195,0.350736278
Female,37,0.132110092,0.177981651,0.344954128,0.390825688
Male,39,0.080701754,0.136842105,0.252631579,0.30877193
Female,39,0.106628242,0.198847262,0.299711816,0.391930836
Male,41,0.034408602,0.07311828,0.156989247,0.195698925
Female,41,0.026315789,0.075657895,0.180921053,0.230263158
Male,42,0.144859813,0.210280374,0.327102804,0.392523364
Female,42,0.190909091,0.242424242,0.342424242,0.393939394
Male,43,0.031784841,0.080684597,0.149144254,0.19804401
Female,43,0.042328042,0.084656085,0.17989418,0.222222222
Male,44,0.094936709,0.183544304,0.278481013,0.367088608
Female,44,0.118518519,0.214814815,0.259259259,0.355555556
Male,45,0.051801802,0.087837838,0.204954955,0.240990991
Female,45,0.025862069,0.056034483,0.185344828,0.215517241
Male,46,0.01010101,0.015151515,0.085858586,0.090909091
Female,46,0.007246377,0.036231884,0.115942029,0.144927536
Male,47,0.046153846,0.092307692,0.107692308,0.153846154
Female,47,0.081632653,0.102040816,0.224489796,0.244897959
Male,48,0.065359477,0.124183007,0.202614379,0.261437908
Female,48,0.104895105,0.160839161,0.223776224,0.27972028
Male,50,0.195054945,0.230769231,0.384615385,0.42032967
Female,50,0.166666667,0.184782609,0.358695652,0.376811594
Male,51,0.038202247,0.080898876,0.22247191,0.265168539
Female,51,0.046153846,0.057692308,0.2,0.211538462
Male,53,0.101604278,0.213903743,0.251336898,0.363636364
Female,53,0.057692308,0.083333333,0.275641026,0.301282051
Male,54,0.049122807,0.101754386,0.168421053,0.221052632
Female,54,0.041916168,0.119760479,0.161676647,0.239520958
Male,55,0.075136612,0.131147541,0.234972678,0.290983607
Female,55,0.050970874,0.089805825,0.233009709,0.27184466
Male,57,0.035031847,0.078556263,0.157112527,0.200636943
Female,57,0.022964509,0.060542797,0.167014614,0.204592902
Male,60,0.016666667,0.033333333,0.183333333,0.2
Female,60,0,0,0.153846154,0.153846154
Male,61,0,0,0.2,0.2
Female,61,0.133333333,0.133333333,0.133333333,0.133333333
Male,62,0.114285714,0.165079365,0.323809524,0.374603175
Female,62,0.117346939,0.163265306,0.331632653,0.37755102
Male,63,0.075471698,0.121293801,0.249775382,0.295597484
Female,63,0.039832285,0.081761006,0.199161426,0.241090147
Male,65,0.033333333,0.426666667,0.1,0.493333333
Female,65,0.037037037,0.5,0.092592593,0.555555556
Male,67,0.024691358,0.064197531,0.165432099,0.204938272
Female,67,0.050691244,0.064516129,0.198156682,0.211981567
Male,69,0.066666667,0.066666667,0.1,0.1
Female,69,0,0,0.052631579,0.052631579
Male,70,0.025974026,0.054112554,0.162337662,0.19047619
Female,70,0.014814815,0.033333333,0.159259259,0.177777778
Male,72,0.012244898,0.040816327,0.110204082,0.13877551
Female,72,0.011494253,0.028735632,0.17816092,0.195402299
Male,73,0.031168831,0.077922078,0.187012987,0.233766234
Female,73,0.043859649,0.070175439,0.166666667,0.192982456
Male,74,0.095826893,0.135239567,0.268160742,0.307573416
Female,74,0.113788487,0.164658635,0.254350736,0.305220884
Male,78,0.013157895,0.068421053,0.139473684,0.194736842
Female,78,0.016483516,0.049450549,0.197802198,0.230769231
Male,79,0.035714286,0.035714286,0.19047619,0.19047619
Female,79,0.023809524,0.071428571,0.214285714,0.261904762
Male,80,0.02745098,0.066666667,0.152941176,0.192156863
Female,80,0.034482759,0.062068966,0.151724138,0.179310345
Male,81,0.168202765,0.209677419,0.299539171,0.341013825
Female,81,0.147540984,0.180327869,0.295081967,0.327868852
Male,82,0.028985507,0.057971014,0.246376812,0.275362319
Female,82,0.041666667,0.125,0.222222222,0.305555556
Male,83,0.158163265,0.198979592,0.341836735,0.382653061
Female,83,0.106382979,0.170212766,0.319148936,0.382978723
Male,84,0.039764359,0.081001473,0.160530191,0.201767305
Female,84,0.036827195,0.065155807,0.169971671,0.198300283
Male,86,0.317991632,0.384937238,0.510460251,0.577405858
