Type,mean_pub,sd_pub,se_pub,mean_jif,sd_jif,se_jif,group
Female Inbred,0.73214209,0.963065962,0.017035412,2.381979833,4.899061219,0.086658164,Inbred1
Female Non-Inbred,0.61362616,0.814337232,0.004209094,2.469774967,4.83048718,0.024967509,Inbred1
Male Inbred,0.739832638,0.946899509,0.014804343,2.608047671,5.281007231,0.082566148,Inbred1
Male Non-Inbred,0.649353576,0.86784693,0.00356364,2.709190073,5.25374955,0.021573472,Inbred1
Female Inbred,0.711935763,0.943577314,0.01338172,2.428958652,4.997184845,0.070869579,Inbred2
Female Non-Inbred,0.610540522,0.809357599,0.004286277,2.467597025,4.813048734,0.025489425,Inbred2
Male Inbred,0.688445861,0.900695106,0.010985721,2.555669246,5.208465772,0.063527324,Inbred2
Male Non-Inbred,0.651248088,0.870073666,0.003654772,2.720097765,5.260856949,0.022098395,Inbred2
Female Inbred,0.64989658,0.867018773,0.00988509,2.36642625,4.797175314,0.054693753,Inbred3
Female Non-Inbred,0.616654901,0.818015546,0.004507537,2.485396162,4.844713745,0.026695981,Inbred3
Male Inbred,0.674786683,0.888239997,0.008588947,2.629634812,5.249167919,0.050757482,Inbred3
Male Non-Inbred,0.651215796,0.870359555,0.003791274,2.717483306,5.256745671,0.022898309,Inbred3
Female Inbred,0.654712523,0.874584903,0.008987728,2.394011196,4.869214315,0.050038794,Inbred4
Female Non-Inbred,0.613296554,0.812563705,0.004603336,2.483794285,4.825631924,0.027338168,Inbred4
Male Inbred,0.661708039,0.8750949,0.007580629,2.598951671,5.218988109,0.045210197,Inbred4
Male Non-Inbred,0.653458033,0.872998526,0.003901399,2.730265414,5.264919839,0.023528738,Inbred4
