country_w,year,gender,variable,value
AU,1975,Male,mean_inbreeding1,0.076923077
AU,1975,Male,mean_inbreeding2,0.076923077
AU,1975,Male,mean_inbreeding3,0.230769231
AU,1975,Male,mean_inbreeding4,0.230769231
AU,1975,Male,mean_inbreeding5,0.769230769
AU,1975,Female,mean_inbreeding1,0
AU,1975,Female,mean_inbreeding2,0
AU,1975,Female,mean_inbreeding3,0
AU,1975,Female,mean_inbreeding4,0
AU,1975,Female,mean_inbreeding5,1
AU,1976,Male,mean_inbreeding1,0
AU,1976,Male,mean_inbreeding2,0.1
AU,1976,Male,mean_inbreeding3,0
AU,1976,Male,mean_inbreeding4,0.1
AU,1976,Male,mean_inbreeding5,0.9
AU,1976,Female,mean_inbreeding1,0
AU,1976,Female,mean_inbreeding2,0
AU,1976,Female,mean_inbreeding3,0.333333333
AU,1976,Female,mean_inbreeding4,0.333333333
AU,1976,Female,mean_inbreeding5,0.666666667
AU,1977,Male,mean_inbreeding1,0
AU,1977,Male,mean_inbreeding2,0
AU,1977,Male,mean_inbreeding3,0
AU,1977,Male,mean_inbreeding4,0
AU,1977,Male,mean_inbreeding5,1
AU,1977,Female,mean_inbreeding1,1
AU,1977,Female,mean_inbreeding2,1
AU,1977,Female,mean_inbreeding3,1
AU,1977,Female,mean_inbreeding4,1
AU,1977,Female,mean_inbreeding5,0
AU,1978,Male,mean_inbreeding1,0.083333333
AU,1978,Male,mean_inbreeding2,0.083333333
AU,1978,Male,mean_inbreeding3,0.083333333
AU,1978,Male,mean_inbreeding4,0.083333333
AU,1978,Male,mean_inbreeding5,0.916666667
AU,1978,Female,mean_inbreeding1,0
AU,1978,Female,mean_inbreeding2,0
AU,1978,Female,mean_inbreeding3,0.5
AU,1978,Female,mean_inbreeding4,0.5
AU,1978,Female,mean_inbreeding5,0.5
AU,1979,Male,mean_inbreeding1,0.111111111
AU,1979,Male,mean_inbreeding2,0.222222222
AU,1979,Male,mean_inbreeding3,0.333333333
AU,1979,Male,mean_inbreeding4,0.444444444
AU,1979,Male,mean_inbreeding5,0.555555556
AU,1979,Female,mean_inbreeding1,0.285714286
AU,1979,Female,mean_inbreeding2,0.285714286
AU,1979,Female,mean_inbreeding3,0.285714286
AU,1979,Female,mean_inbreeding4,0.285714286
AU,1979,Female,mean_inbreeding5,0.714285714
AU,1980,Male,mean_inbreeding1,0.071428571
AU,1980,Male,mean_inbreeding2,0.142857143
AU,1980,Male,mean_inbreeding3,0.142857143
AU,1980,Male,mean_inbreeding4,0.214285714
AU,1980,Male,mean_inbreeding5,0.785714286
AU,1980,Female,mean_inbreeding1,0
AU,1980,Female,mean_inbreeding2,0
AU,1980,Female,mean_inbreeding3,0
AU,1980,Female,mean_inbreeding4,0
AU,1980,Female,mean_inbreeding5,1
AU,1981,Male,mean_inbreeding1,0.111111111
AU,1981,Male,mean_inbreeding2,0.166666667
AU,1981,Male,mean_inbreeding3,0.111111111
AU,1981,Male,mean_inbreeding4,0.166666667
AU,1981,Male,mean_inbreeding5,0.833333333
AU,1981,Female,mean_inbreeding1,0
AU,1981,Female,mean_inbreeding2,0
AU,1981,Female,mean_inbreeding3,0
AU,1981,Female,mean_inbreeding4,0
AU,1981,Female,mean_inbreeding5,1
AU,1982,Male,mean_inbreeding1,0.0625
AU,1982,Male,mean_inbreeding2,0.125
AU,1982,Male,mean_inbreeding3,0.25
AU,1982,Male,mean_inbreeding4,0.3125
AU,1982,Male,mean_inbreeding5,0.6875
AU,1982,Female,mean_inbreeding1,0
AU,1982,Female,mean_inbreeding2,0
AU,1982,Female,mean_inbreeding3,0
AU,1982,Female,mean_inbreeding4,0
AU,1982,Female,mean_inbreeding5,1
AU,1983,Male,mean_inbreeding1,0.047619048
AU,1983,Male,mean_inbreeding2,0.19047619
AU,1983,Male,mean_inbreeding3,0.142857143
AU,1983,Male,mean_inbreeding4,0.285714286
AU,1983,Male,mean_inbreeding5,0.714285714
AU,1983,Female,mean_inbreeding1,0
AU,1983,Female,mean_inbreeding2,0
AU,1983,Female,mean_inbreeding3,0.25
AU,1983,Female,mean_inbreeding4,0.25
AU,1983,Female,mean_inbreeding5,0.75
AU,1984,Male,mean_inbreeding1,0
AU,1984,Male,mean_inbreeding2,0.133333333
AU,1984,Male,mean_inbreeding3,0
AU,1984,Male,mean_inbreeding4,0.133333333
AU,1984,Male,mean_inbreeding5,0.866666667
AU,1984,Female,mean_inbreeding1,0
AU,1984,Female,mean_inbreeding2,0
AU,1984,Female,mean_inbreeding3,0.166666667
AU,1984,Female,mean_inbreeding4,0.166666667
AU,1984,Female,mean_inbreeding5,0.833333333
AU,1985,Male,mean_inbreeding1,0.105263158
AU,1985,Male,mean_inbreeding2,0.105263158
AU,1985,Male,mean_inbreeding3,0.210526316
AU,1985,Male,mean_inbreeding4,0.210526316
AU,1985,Male,mean_inbreeding5,0.789473684
AU,1985,Female,mean_inbreeding1,0
AU,1985,Female,mean_inbreeding2,0
AU,1985,Female,mean_inbreeding3,0
AU,1985,Female,mean_inbreeding4,0
AU,1985,Female,mean_inbreeding5,1
AU,1986,Male,mean_inbreeding1,0.137931034
AU,1986,Male,mean_inbreeding2,0.24137931
AU,1986,Male,mean_inbreeding3,0.413793103
AU,1986,Male,mean_inbreeding4,0.517241379
AU,1986,Male,mean_inbreeding5,0.482758621
AU,1986,Female,mean_inbreeding1,0.090909091
AU,1986,Female,mean_inbreeding2,0.181818182
AU,1986,Female,mean_inbreeding3,0.090909091
AU,1986,Female,mean_inbreeding4,0.181818182
AU,1986,Female,mean_inbreeding5,0.818181818
AU,1987,Male,mean_inbreeding1,0.060606061
AU,1987,Male,mean_inbreeding2,0.151515152
AU,1987,Male,mean_inbreeding3,0.212121212
AU,1987,Male,mean_inbreeding4,0.303030303
AU,1987,Male,mean_inbreeding5,0.696969697
AU,1987,Female,mean_inbreeding1,0
AU,1987,Female,mean_inbreeding2,0
AU,1987,Female,mean_inbreeding3,0.4
AU,1987,Female,mean_inbreeding4,0.4
AU,1987,Female,mean_inbreeding5,0.6
AU,1988,Male,mean_inbreeding1,0.11627907
AU,1988,Male,mean_inbreeding2,0.162790698
AU,1988,Male,mean_inbreeding3,0.279069767
AU,1988,Male,mean_inbreeding4,0.325581395
AU,1988,Male,mean_inbreeding5,0.674418605
AU,1988,Female,mean_inbreeding1,0
AU,1988,Female,mean_inbreeding2,0
AU,1988,Female,mean_inbreeding3,0.222222222
AU,1988,Female,mean_inbreeding4,0.222222222
AU,1988,Female,mean_inbreeding5,0.777777778
AU,1989,Male,mean_inbreeding1,0.043478261
AU,1989,Male,mean_inbreeding2,0.086956522
AU,1989,Male,mean_inbreeding3,0.086956522
AU,1989,Male,mean_inbreeding4,0.130434783
AU,1989,Male,mean_inbreeding5,0.869565217
AU,1989,Female,mean_inbreeding1,0.095238095
AU,1989,Female,mean_inbreeding2,0.19047619
AU,1989,Female,mean_inbreeding3,0.095238095
AU,1989,Female,mean_inbreeding4,0.19047619
AU,1989,Female,mean_inbreeding5,0.80952381
AU,1990,Male,mean_inbreeding1,0.075471698
AU,1990,Male,mean_inbreeding2,0.132075472
AU,1990,Male,mean_inbreeding3,0.226415094
AU,1990,Male,mean_inbreeding4,0.283018868
AU,1990,Male,mean_inbreeding5,0.716981132
AU,1990,Female,mean_inbreeding1,0.111111111
AU,1990,Female,mean_inbreeding2,0.111111111
AU,1990,Female,mean_inbreeding3,0.333333333
AU,1990,Female,mean_inbreeding4,0.333333333
AU,1990,Female,mean_inbreeding5,0.666666667
AU,1991,Male,mean_inbreeding1,0.017241379
AU,1991,Male,mean_inbreeding2,0.051724138
AU,1991,Male,mean_inbreeding3,0.189655172
AU,1991,Male,mean_inbreeding4,0.224137931
AU,1991,Male,mean_inbreeding5,0.775862069
AU,1991,Female,mean_inbreeding1,0
AU,1991,Female,mean_inbreeding2,0.125
AU,1991,Female,mean_inbreeding3,0.125
AU,1991,Female,mean_inbreeding4,0.25
AU,1991,Female,mean_inbreeding5,0.75
AU,1992,Male,mean_inbreeding1,0.069767442
AU,1992,Male,mean_inbreeding2,0.093023256
AU,1992,Male,mean_inbreeding3,0.302325581
AU,1992,Male,mean_inbreeding4,0.325581395
AU,1992,Male,mean_inbreeding5,0.674418605
AU,1992,Female,mean_inbreeding1,0.173913043
AU,1992,Female,mean_inbreeding2,0.173913043
AU,1992,Female,mean_inbreeding3,0.260869565
AU,1992,Female,mean_inbreeding4,0.260869565
AU,1992,Female,mean_inbreeding5,0.739130435
AU,1993,Male,mean_inbreeding1,0.06
AU,1993,Male,mean_inbreeding2,0.1
AU,1993,Male,mean_inbreeding3,0.24
AU,1993,Male,mean_inbreeding4,0.28
AU,1993,Male,mean_inbreeding5,0.72
AU,1993,Female,mean_inbreeding1,0.173913043
AU,1993,Female,mean_inbreeding2,0.217391304
AU,1993,Female,mean_inbreeding3,0.260869565
AU,1993,Female,mean_inbreeding4,0.304347826
AU,1993,Female,mean_inbreeding5,0.695652174
AU,1994,Male,mean_inbreeding1,0.086956522
AU,1994,Male,mean_inbreeding2,0.130434783
AU,1994,Male,mean_inbreeding3,0.282608696
AU,1994,Male,mean_inbreeding4,0.326086957
AU,1994,Male,mean_inbreeding5,0.673913043
AU,1994,Female,mean_inbreeding1,0.04
AU,1994,Female,mean_inbreeding2,0.12
AU,1994,Female,mean_inbreeding3,0.2
AU,1994,Female,mean_inbreeding4,0.28
AU,1994,Female,mean_inbreeding5,0.72
AU,1995,Male,mean_inbreeding1,0.135135135
AU,1995,Male,mean_inbreeding2,0.162162162
AU,1995,Male,mean_inbreeding3,0.202702703
AU,1995,Male,mean_inbreeding4,0.22972973
AU,1995,Male,mean_inbreeding5,0.77027027
AU,1995,Female,mean_inbreeding1,0.068965517
AU,1995,Female,mean_inbreeding2,0.068965517
AU,1995,Female,mean_inbreeding3,0.206896552
AU,1995,Female,mean_inbreeding4,0.206896552
AU,1995,Female,mean_inbreeding5,0.793103448
AU,1996,Male,mean_inbreeding1,0.072463768
AU,1996,Male,mean_inbreeding2,0.115942029
AU,1996,Male,mean_inbreeding3,0.260869565
AU,1996,Male,mean_inbreeding4,0.304347826
AU,1996,Male,mean_inbreeding5,0.695652174
AU,1996,Female,mean_inbreeding1,0.172413793
AU,1996,Female,mean_inbreeding2,0.275862069
AU,1996,Female,mean_inbreeding3,0.172413793
AU,1996,Female,mean_inbreeding4,0.275862069
AU,1996,Female,mean_inbreeding5,0.724137931
AU,1997,Male,mean_inbreeding1,0.098591549
AU,1997,Male,mean_inbreeding2,0.126760563
AU,1997,Male,mean_inbreeding3,0.323943662
AU,1997,Male,mean_inbreeding4,0.352112676
AU,1997,Male,mean_inbreeding5,0.647887324
AU,1997,Female,mean_inbreeding1,0.074074074
AU,1997,Female,mean_inbreeding2,0.074074074
AU,1997,Female,mean_inbreeding3,0.111111111
AU,1997,Female,mean_inbreeding4,0.111111111
AU,1997,Female,mean_inbreeding5,0.888888889
AU,1998,Male,mean_inbreeding1,0.153846154
AU,1998,Male,mean_inbreeding2,0.184615385
AU,1998,Male,mean_inbreeding3,0.246153846
AU,1998,Male,mean_inbreeding4,0.276923077
AU,1998,Male,mean_inbreeding5,0.723076923
AU,1998,Female,mean_inbreeding1,0.162790698
AU,1998,Female,mean_inbreeding2,0.162790698
AU,1998,Female,mean_inbreeding3,0.325581395
AU,1998,Female,mean_inbreeding4,0.325581395
AU,1998,Female,mean_inbreeding5,0.674418605
AU,1999,Male,mean_inbreeding1,0.120481928
AU,1999,Male,mean_inbreeding2,0.168674699
AU,1999,Male,mean_inbreeding3,0.325301205
AU,1999,Male,mean_inbreeding4,0.373493976
AU,1999,Male,mean_inbreeding5,0.626506024
AU,1999,Female,mean_inbreeding1,0.170731707
AU,1999,Female,mean_inbreeding2,0.170731707
AU,1999,Female,mean_inbreeding3,0.292682927
AU,1999,Female,mean_inbreeding4,0.292682927
AU,1999,Female,mean_inbreeding5,0.707317073
AU,2000,Male,mean_inbreeding1,0.127906977
AU,2000,Male,mean_inbreeding2,0.174418605
AU,2000,Male,mean_inbreeding3,0.325581395
AU,2000,Male,mean_inbreeding4,0.372093023
AU,2000,Male,mean_inbreeding5,0.627906977
AU,2000,Female,mean_inbreeding1,0.116666667
AU,2000,Female,mean_inbreeding2,0.166666667
AU,2000,Female,mean_inbreeding3,0.316666667
AU,2000,Female,mean_inbreeding4,0.366666667
AU,2000,Female,mean_inbreeding5,0.633333333
AU,2001,Male,mean_inbreeding1,0.088235294
AU,2001,Male,mean_inbreeding2,0.137254902
AU,2001,Male,mean_inbreeding3,0.235294118
AU,2001,Male,mean_inbreeding4,0.284313725
AU,2001,Male,mean_inbreeding5,0.715686275
AU,2001,Female,mean_inbreeding1,0.185185185
AU,2001,Female,mean_inbreeding2,0.222222222
AU,2001,Female,mean_inbreeding3,0.462962963
AU,2001,Female,mean_inbreeding4,0.5
AU,2001,Female,mean_inbreeding5,0.5
AU,2002,Male,mean_inbreeding1,0.091743119
AU,2002,Male,mean_inbreeding2,0.137614679
AU,2002,Male,mean_inbreeding3,0.23853211
AU,2002,Male,mean_inbreeding4,0.28440367
AU,2002,Male,mean_inbreeding5,0.71559633
AU,2002,Female,mean_inbreeding1,0.06557377
AU,2002,Female,mean_inbreeding2,0.196721311
AU,2002,Female,mean_inbreeding3,0.295081967
AU,2002,Female,mean_inbreeding4,0.426229508
AU,2002,Female,mean_inbreeding5,0.573770492
AU,2003,Male,mean_inbreeding1,0.144067797
AU,2003,Male,mean_inbreeding2,0.186440678
AU,2003,Male,mean_inbreeding3,0.313559322
AU,2003,Male,mean_inbreeding4,0.355932203
