domain,year,gender,variable,value
Applied Sciences,1975,Male,inbreeding1,0.133333333
Applied Sciences,1975,Male,inbreeding2,0.177777778
Applied Sciences,1975,Male,inbreeding3,0.155555556
Applied Sciences,1975,Male,inbreeding4,0.2
Applied Sciences,1975,Female,inbreeding1,0.055555556
Applied Sciences,1975,Female,inbreeding2,0.111111111
Applied Sciences,1975,Female,inbreeding3,0.166666667
Applied Sciences,1975,Female,inbreeding4,0.222222222
Applied Sciences,1976,Male,inbreeding1,0.093023256
Applied Sciences,1976,Male,inbreeding2,0.162790698
Applied Sciences,1976,Male,inbreeding3,0.23255814
Applied Sciences,1976,Male,inbreeding4,0.302325581
Applied Sciences,1976,Female,inbreeding1,0.086956522
Applied Sciences,1976,Female,inbreeding2,0.173913043
Applied Sciences,1976,Female,inbreeding3,0.304347826
Applied Sciences,1976,Female,inbreeding4,0.391304348
Applied Sciences,1977,Male,inbreeding1,0.040816327
Applied Sciences,1977,Male,inbreeding2,0.163265306
Applied Sciences,1977,Male,inbreeding3,0.142857143
Applied Sciences,1977,Male,inbreeding4,0.265306122
Applied Sciences,1977,Female,inbreeding1,0.153846154
Applied Sciences,1977,Female,inbreeding2,0.269230769
Applied Sciences,1977,Female,inbreeding3,0.269230769
Applied Sciences,1977,Female,inbreeding4,0.384615385
Applied Sciences,1978,Male,inbreeding1,0.05
Applied Sciences,1978,Male,inbreeding2,0.133333333
Applied Sciences,1978,Male,inbreeding3,0.166666667
Applied Sciences,1978,Male,inbreeding4,0.25
Applied Sciences,1978,Female,inbreeding1,0.111111111
Applied Sciences,1978,Female,inbreeding2,0.111111111
Applied Sciences,1978,Female,inbreeding3,0.166666667
Applied Sciences,1978,Female,inbreeding4,0.166666667
Applied Sciences,1979,Male,inbreeding1,0.054794521
Applied Sciences,1979,Male,inbreeding2,0.136986301
Applied Sciences,1979,Male,inbreeding3,0.136986301
Applied Sciences,1979,Male,inbreeding4,0.219178082
Applied Sciences,1979,Female,inbreeding1,0
Applied Sciences,1979,Female,inbreeding2,0.136363636
Applied Sciences,1979,Female,inbreeding3,0.090909091
Applied Sciences,1979,Female,inbreeding4,0.227272727
Applied Sciences,1980,Male,inbreeding1,0.010752688
Applied Sciences,1980,Male,inbreeding2,0.064516129
Applied Sciences,1980,Male,inbreeding3,0.107526882
Applied Sciences,1980,Male,inbreeding4,0.161290323
Applied Sciences,1980,Female,inbreeding1,0.151515152
Applied Sciences,1980,Female,inbreeding2,0.272727273
Applied Sciences,1980,Female,inbreeding3,0.242424242
Applied Sciences,1980,Female,inbreeding4,0.363636364
Applied Sciences,1981,Male,inbreeding1,0.06097561
Applied Sciences,1981,Male,inbreeding2,0.12195122
Applied Sciences,1981,Male,inbreeding3,0.146341463
Applied Sciences,1981,Male,inbreeding4,0.207317073
Applied Sciences,1981,Female,inbreeding1,0.1
Applied Sciences,1981,Female,inbreeding2,0.15
Applied Sciences,1981,Female,inbreeding3,0.2
Applied Sciences,1981,Female,inbreeding4,0.25
Applied Sciences,1982,Male,inbreeding1,0.05
Applied Sciences,1982,Male,inbreeding2,0.125
Applied Sciences,1982,Male,inbreeding3,0.1625
Applied Sciences,1982,Male,inbreeding4,0.2375
Applied Sciences,1982,Female,inbreeding1,0.105263158
Applied Sciences,1982,Female,inbreeding2,0.236842105
Applied Sciences,1982,Female,inbreeding3,0.210526316
Applied Sciences,1982,Female,inbreeding4,0.342105263
Applied Sciences,1983,Male,inbreeding1,0.071428571
Applied Sciences,1983,Male,inbreeding2,0.163265306
Applied Sciences,1983,Male,inbreeding3,0.153061224
Applied Sciences,1983,Male,inbreeding4,0.244897959
Applied Sciences,1983,Female,inbreeding1,0.046511628
Applied Sciences,1983,Female,inbreeding2,0.11627907
Applied Sciences,1983,Female,inbreeding3,0.139534884
Applied Sciences,1983,Female,inbreeding4,0.209302326
Applied Sciences,1984,Male,inbreeding1,0.063063063
Applied Sciences,1984,Male,inbreeding2,0.108108108
Applied Sciences,1984,Male,inbreeding3,0.126126126
Applied Sciences,1984,Male,inbreeding4,0.171171171
Applied Sciences,1984,Female,inbreeding1,0.158730159
Applied Sciences,1984,Female,inbreeding2,0.26984127
Applied Sciences,1984,Female,inbreeding3,0.26984127
Applied Sciences,1984,Female,inbreeding4,0.380952381
Applied Sciences,1985,Male,inbreeding1,0.079365079
Applied Sciences,1985,Male,inbreeding2,0.142857143
Applied Sciences,1985,Male,inbreeding3,0.150793651
Applied Sciences,1985,Male,inbreeding4,0.214285714
Applied Sciences,1985,Female,inbreeding1,0.112676056
Applied Sciences,1985,Female,inbreeding2,0.253521127
Applied Sciences,1985,Female,inbreeding3,0.211267606
Applied Sciences,1985,Female,inbreeding4,0.352112676
Applied Sciences,1986,Male,inbreeding1,0.06626506
Applied Sciences,1986,Male,inbreeding2,0.180722892
Applied Sciences,1986,Male,inbreeding3,0.156626506
Applied Sciences,1986,Male,inbreeding4,0.271084337
Applied Sciences,1986,Female,inbreeding1,0.148514851
Applied Sciences,1986,Female,inbreeding2,0.198019802
Applied Sciences,1986,Female,inbreeding3,0.227722772
Applied Sciences,1986,Female,inbreeding4,0.277227723
Applied Sciences,1987,Male,inbreeding1,0.06547619
Applied Sciences,1987,Male,inbreeding2,0.178571429
Applied Sciences,1987,Male,inbreeding3,0.125
Applied Sciences,1987,Male,inbreeding4,0.238095238
Applied Sciences,1987,Female,inbreeding1,0.104166667
Applied Sciences,1987,Female,inbreeding2,0.177083333
Applied Sciences,1987,Female,inbreeding3,0.208333333
Applied Sciences,1987,Female,inbreeding4,0.28125
Applied Sciences,1988,Male,inbreeding1,0.070175439
Applied Sciences,1988,Male,inbreeding2,0.157894737
Applied Sciences,1988,Male,inbreeding3,0.187134503
Applied Sciences,1988,Male,inbreeding4,0.274853801
Applied Sciences,1988,Female,inbreeding1,0.074074074
Applied Sciences,1988,Female,inbreeding2,0.148148148
Applied Sciences,1988,Female,inbreeding3,0.166666667
Applied Sciences,1988,Female,inbreeding4,0.240740741
Applied Sciences,1989,Male,inbreeding1,0.069518717
Applied Sciences,1989,Male,inbreeding2,0.139037433
Applied Sciences,1989,Male,inbreeding3,0.144385027
Applied Sciences,1989,Male,inbreeding4,0.213903743
Applied Sciences,1989,Female,inbreeding1,0.104347826
Applied Sciences,1989,Female,inbreeding2,0.208695652
Applied Sciences,1989,Female,inbreeding3,0.2
Applied Sciences,1989,Female,inbreeding4,0.304347826
Applied Sciences,1990,Male,inbreeding1,0.052401747
Applied Sciences,1990,Male,inbreeding2,0.096069869
Applied Sciences,1990,Male,inbreeding3,0.170305677
Applied Sciences,1990,Male,inbreeding4,0.213973799
Applied Sciences,1990,Female,inbreeding1,0.053846154
Applied Sciences,1990,Female,inbreeding2,0.138461538
Applied Sciences,1990,Female,inbreeding3,0.169230769
Applied Sciences,1990,Female,inbreeding4,0.253846154
Applied Sciences,1991,Male,inbreeding1,0.055776892
Applied Sciences,1991,Male,inbreeding2,0.12749004
Applied Sciences,1991,Male,inbreeding3,0.12749004
Applied Sciences,1991,Male,inbreeding4,0.199203187
Applied Sciences,1991,Female,inbreeding1,0.083916084
Applied Sciences,1991,Female,inbreeding2,0.188811189
Applied Sciences,1991,Female,inbreeding3,0.195804196
Applied Sciences,1991,Female,inbreeding4,0.300699301
Applied Sciences,1992,Male,inbreeding1,0.071729958
Applied Sciences,1992,Male,inbreeding2,0.17721519
Applied Sciences,1992,Male,inbreeding3,0.168776371
Applied Sciences,1992,Male,inbreeding4,0.274261603
Applied Sciences,1992,Female,inbreeding1,0.080882353
Applied Sciences,1992,Female,inbreeding2,0.183823529
Applied Sciences,1992,Female,inbreeding3,0.205882353
Applied Sciences,1992,Female,inbreeding4,0.308823529
Applied Sciences,1993,Male,inbreeding1,0.087719298
Applied Sciences,1993,Male,inbreeding2,0.171052632
Applied Sciences,1993,Male,inbreeding3,0.162280702
Applied Sciences,1993,Male,inbreeding4,0.245614035
Applied Sciences,1993,Female,inbreeding1,0.067567568
Applied Sciences,1993,Female,inbreeding2,0.141891892
Applied Sciences,1993,Female,inbreeding3,0.182432432
Applied Sciences,1993,Female,inbreeding4,0.256756757
Applied Sciences,1994,Male,inbreeding1,0.071186441
Applied Sciences,1994,Male,inbreeding2,0.118644068
Applied Sciences,1994,Male,inbreeding3,0.152542373
Applied Sciences,1994,Male,inbreeding4,0.2
Applied Sciences,1994,Female,inbreeding1,0.104972376
Applied Sciences,1994,Female,inbreeding2,0.193370166
Applied Sciences,1994,Female,inbreeding3,0.187845304
Applied Sciences,1994,Female,inbreeding4,0.276243094
Applied Sciences,1995,Male,inbreeding1,0.079027356
Applied Sciences,1995,Male,inbreeding2,0.164133739
Applied Sciences,1995,Male,inbreeding3,0.158054711
Applied Sciences,1995,Male,inbreeding4,0.243161094
